scode	s_count	school_name	school_lat	school_long	cscode	center_name	center_address	center_capacity	distance_km
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27057	NOBEL ACADEMY SECONDARY SCHOOL	NAYA BANESHWAR	550	1.7254604500159787
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27187	GRAMMER PUBLIC SECONDARY SCHOOL	KOTESHWOR	504	0.8226851382695247
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27072	BANESHWAR CAMPUS	SHANTINAGAR	559	0.5368208804311723
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27179	KOTESHWOR MULTIPLE CAMPUS	JADIBUTI	544	1.1645156041298992
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27119	PREMIER SECONDARY SCHOOL	NAYABANESHWAR	390	1.0776041368080254
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27188	RATNA RAJYA SECONDARY SCHOOL	BANESHWAR	500	1.6226531052681625
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27349	COSMIC INTERNATIONAL ACADEMY	KOTESHWOR	480	1.0348237174511385
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27183	KAUSTUIV ACADEMY SECONDARY SCHOOL	PEPSICOLA	446	1.2396876888401689
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27169	GUASHEWARI SECONDARY SCHOOL	SINAMANGAL	400	1.382705577514823
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27172	LIVERPOOL SECONDARY SCHOOL	BANESHWAR	500	1.1038102153295355
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27126	KNOWLEDGE AND WISDOM ACADEMY SECONDARY SCHOOL	NAYA BANESHWAR	392	1.3835380968961506
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27083	COLUMBUS SECONDARY SCHOOL	SHANKHAMUL	300	1.6976293454201141
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27049	AMBITION ACADEMY	BANESHWAR	527	1.6244193241601885
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27240	SHARADA SECONDARY SCHOOL	GAUSHALA	450	1.9855729281061303
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27081	SWAPNA BATIKA ACADEMY	BUDDHANAGAR	500	1.7798203965596011
27063	809	हिमालयन ह्वाइट हाउस इन्टरनेशनल मा.वि., नयाँ वानेश्वर	27.6842548831	85.3474283227	27133	GLOBAL COLLEGE OF MANAGEMENT	BANESHWAR	557	1.9114874637319892
