scode	lat	long
27412	27.6977929656	85.3537996558
27245	27.7311515128	85.3559086624
27115	27.7254032051	85.3127028116
27013	27.7146325985	85.3317342781
27137	27.6988990962	85.3297100159
27148	27.6781761004	85.2796471134
27291	27.7237886742	85.3389234669
27282	27.7265964288	85.350594597
27074	27.7348804812	85.3155153447
27061	27.6738190176	85.3434160386
27192	27.7054447505	85.3262248827
27243	27.7181356134	85.3136743692
27236	27.7264520979	85.347091636
27067	27.6929353739	85.2745699827
27025	27.7279012164	85.34645182
27349	27.6751317145	85.3453532809
27251	27.722818616	85.2881795097
27039	27.7106748142	85.3083601631
27043	27.6919839749	85.2923304827
27305	27.704924728	85.2835018404
27090	27.7290385369	85.3455407289
27433	27.7304306005	85.3123556174
27238	27.7181102459	85.3454140981
27080	27.6964807181	85.3031530009
27195	27.7029632564	85.3032842607
27147	27.7464988036	85.3305101367
27034	27.7209708684	85.3217150599
27253	27.6943986722	85.3362495674
27322	27.7222096879	85.2842836212
27023	27.714514948	85.3086689692
27427	27.7081160485	85.3142291134
27226	27.6965874053	85.352207231
27321	27.7266237179	85.3720796269
27391	27.717161538	85.3708577508
27087	27.7462567256	85.3402661116
27044	27.706023652	85.3267227367
27065	27.7175713392	85.3590764064
27445	27.7358044474	85.3815148317
27084	27.7048747574	85.3179867521
27244	27.7376457037	85.3191990367
27297	27.729986854	85.4606547619
27135	27.6914301265	85.2837653943
27344	27.7271484259	85.3582232602
27108	27.7206286611	85.3279397542
27197	27.6681543019	85.2750561492
27008	27.7399016345	85.3874417985
27150	27.6913104762	85.3509680404
27271	27.743466479	85.3126463262
27083	27.686566519	85.3303860604
27079	27.7260172919	85.3135375846
27136	27.6927185053	85.3176549821
27503	27.6947419679	85.3333060071
27097	27.7143419283	85.3413761324
27441	27.6876360638	85.2665979729
27180	27.7188908379	85.3517883315
27241	27.7163847218	85.3319261116
27339	27.7166222279	85.3460180058
27092	27.7017521973	85.3034417067
27307	27.7420911615	85.3637216055
27146	27.7666332254	85.3314147674
27168	27.7223149098	85.3028932421
27242	27.7455403884	85.3114530327
27209	27.7202853309	85.3015112097
27038	27.7268257407	85.3247573464
27185	27.6945061089	85.2806589712
27235	27.7204013184	85.3629069931
27482	27.7196094197	85.3818590981
27159	27.7051735546	85.3270023404
27247	27.7234938091	85.3635965404
27432	27.6914950294	85.226317757
27302	27.7123813726	85.2974799267
27015	27.622640294	85.2655439937
27335	27.7225709626	85.3858021809
27280	27.700592861	85.3018698558
27392	27.7223712034	85.2841656251
27169	27.6961259782	85.3516092492
27262	27.6928285903	85.2846303058
27340	27.6986886573	85.2940532692
27026	27.6862072416	85.2589280159
27284	27.7640308375	85.3120967616
27052	27.7045578544	85.3334670809
27215	27.7595861811	85.2895528214
27283	27.7140494898	85.3802704768
27010	27.7433620495	85.3459921153
27279	27.7251442057	85.3311896539
27458	27.7311741138	85.3754286611
27130	27.6937597481	85.2196856103
27214	27.7266589025	85.4596341385
27278	27.7413392737	85.3449341851
27018	27.7159469902	85.3029008738
27128	27.7121615346	85.3410772827
27134	27.7211316321	85.3030702692
27393	27.7411676765	85.3382349097
27374	27.7469874132	85.3434284386
27085	27.7202156341	85.312957752
27229	27.715798921	85.4008347981
27272	27.6989554604	85.2850565251
27317	27.6610965474	85.2568030116
27352	27.7567268851	85.3033336827
27105	27.7456501722	85.3180989232
27033	27.7276543942	85.4621226674
27183	27.688893459	85.3588771809
27413	27.6980809038	85.353948463
27155	27.6101103892	85.2617855539
27362	27.6909039223	85.2928593007
27518	27.7348691461	85.3209885471
