scode	school	cscode	center	center_address	allocation	distance_km
27107	गीतामाता मा.वि., विजेश्वरी	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	100	1.5952681412316005
27107	गीतामाता मा.वि., विजेश्वरी	27003	NATIONAL SCHOOL OF SCIENCES SECONDARY SCHOOL	LAINCHAUR	100	1.9930484837214741
27107	गीतामाता मा.वि., विजेश्वरी	27092	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	100	1.1711929542496065
27107	गीतामाता मा.वि., विजेश्वरी	27305	GREENFIELD NATIONAL SECONDARY SCHOOL	SITAPAILA	82	1.42475232726395
27150	लोयला मा.वि., पुरानोवानेश्वर	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	100	1.9545473240515372
27150	लोयला मा.वि., पुरानोवानेश्वर	27072	BANESHWAR CAMPUS	SHANTINAGAR	11	0.40824971386393727
27150	लोयला मा.वि., पुरानोवानेश्वर	27063	HIMALAYA WHITE HOUSE INTERNATIONAL SECONDARY SCHOOL	TINKUNA	11	0.8584787021644791
27150	लोयला मा.वि., पुरानोवानेश्वर	27412	ABHISHEK GYAN MANDIR SECONDARY SCHOOL	SINAMANGAL	6	1.4236042896568744
27434	कस्मोपोलिटन इङ्गलिस बोर्डिङ मा वि, वालुवाटार	27236	BROOKLIN ACADEMY SECONDARY SCHOOL	SUKEDHARA	14	1.0627657675300104
27495	सेन्ट जोसेफ बोर्डिङ स्कुल, तारकेश्वर, गोलढुङ्गा,	27010	CHIRAN MILAN BISHWASHANTI CAMPUS	BASBARI	12	1.0134362997842512
27412	अभिषेक ज्ञान मन्दिर, सिनामंगल	27022	PASHUPATI MULTIPLE CAMPUS	SUKEDHARA	12	1.9824664190799182
27412	अभिषेक ज्ञान मन्दिर, सिनामंगल	27435	PROGRESSIVE ENGLISH SECONDARY SCHOOL	MAHAKAL	11	2.7506174149592812
27412	अभिषेक ज्ञान मन्दिर, सिनामंगल	27179	KOTESHWOR MULTIPLE CAMPUS	JADIBUTI	10	2.4175893977497096
27412	अभिषेक ज्ञान मन्दिर, सिनामंगल	27299	THE INSIGHT VISION SECONDARY SCHOOL	DHUMBARAHI	189	3.3286371386240585
27080	क्यापिटल हिल एकेडेमी मा.वि., टेकु	27092	PAROPAKAR ADARSHA SECONDARY SCHOOL	BHIMSENSTHAN	30	0.5868508032091929
27080	क्यापिटल हिल एकेडेमी मा.वि., टेकु	27058	EVEREST MA VI	SOLTEEMOD	100	1.3011391461387865
27080	क्यापिटल हिल एकेडेमी मा.वि., टेकु	27011	VISHWO NIKETAN SECONDARY SCHOOL	TRIPURESHWAR	36	0.979344707762607
27272	राइजिङ्ग स्टार मा.वि, वाफल	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	83	0.3973994904216334
27448	नव आदर्श मा.वि. गंगापथ बसन्तपुर	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	26	1.2393394420361907
27451	वेष्ट प्वाइन्ट मा.वि., थानकोट	27432	PRABHAT SECONDARY SCHOOL	THANKOT	1	0.36365498715438344
27479	लिम्पिया नेशनल स्कुल, गोकर्णेश्वर, काठमाडौं	27391	EKTA JEMS ENGLISH ACADEMY	JORPATI	33	0.14007110358062713
27479	लिम्पिया नेशनल स्कुल, गोकर्णेश्वर, काठमाडौं	27267	EASTPOLE SECONDARY SCHOOL	JORPATI	100	0.9140934064394753
27479	लिम्पिया नेशनल स्कुल, गोकर्णेश्वर, काठमाडौं	27462	SARBANAM SIKSHALAYA	GOKARNESHWAR JORPATI	100	0.45524838312220295
27479	लिम्पिया नेशनल स्कुल, गोकर्णेश्वर, काठमाडौं	27283	TEJ BINAYAK SECONDARY SCHOOL	GOTHATAR	1	0.8525410895261908
27444	त्यौड मा.वि. , त्यौड तँलाछी	27011	VISHWO NIKETAN SECONDARY SCHOOL	TRIPURESHWAR	24	1.8272709127756774
27444	त्यौड मा.वि. , त्यौड तँलाछी	27243	SHANTI BIDHYAGRIHA SECONDARY SCHOOL	LAINCHAUR	9	0.9857042746490806
27105	फ्लोरोसेन्ट मा.वि., गोंगवु	27207	HERALD SECONDARY SCHOOL	BASUNDHARA	77	1.1230014133598298
27151	विष्णुमती आ.मा.वि., गोङ्गवु	27038	BHANUBHAKTA MEMORIAL SECONDARY SCHOOL	PANIPOKHARI	100	1.9310103293315004
27151	विष्णुमती आ.मा.वि., गोङ्गवु	27003	NATIONAL SCHOOL OF SCIENCES SECONDARY SCHOOL	LAINCHAUR	63	1.9956012304542365
27151	विष्णुमती आ.मा.वि., गोङ्गवु	27341	JUDDHODAYA SECONDARY SCHOOL	CHETRAPATI	11	2.657501612137494
27151	विष्णुमती आ.मा.वि., गोङ्गवु	27251	KAMANA INTERNATIONAL SECONDARY SCHOOL	DHUNGADHARA	68	2.5136190657660396
27344	जोसेफ इङ्गलिस स्कुल	27065	ARUNIMA SECONDARY SCHOOL	BOUDDHA	100	1.0682292916443061
27344	जोसेफ इङ्गलिस स्कुल	27462	SARBANAM SIKSHALAYA	GOKARNESHWAR JORPATI	34	1.3324281168015
27391	एकता जेम्स इ. एकेडेमी	27283	TEJ BINAYAK SECONDARY SCHOOL	GOTHATAR	73	0.9890727067279317
27391	एकता जेम्स इ. एकेडेमी	27267	EASTPOLE SECONDARY SCHOOL	JORPATI	74	0.9823502106396523
27247	महेन्द्र बौद्ध मा.वि., बौद्ध फुलवारी	27462	SARBANAM SIKSHALAYA	GOKARNESHWAR JORPATI	100	0.6654738806876342
27247	महेन्द्र बौद्ध मा.वि., बौद्ध फुलवारी	27321	WITS ACADEMY	BHUWALDANDA	7	0.9046077867975414
27520	दक्षता इ.मा.वि., कालीमाटी	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	15	1.0696093621936718
27209	अक्सफोर्ड वोर्डिङ्ग मा.वि. नयाँवजार	27251	KAMANA INTERNATIONAL SECONDARY SCHOOL	DHUNGADHARA	46	1.3421566124970983
27209	अक्सफोर्ड वोर्डिङ्ग मा.वि. नयाँवजार	27243	SHANTI BIDHYAGRIHA SECONDARY SCHOOL	LAINCHAUR	31	1.2256827674198383
27209	अक्सफोर्ड वोर्डिङ्ग मा.वि. नयाँवजार	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	32	1.203733614160701
27084	सिद्धार्थ एकाडेमी मा.वि., वाफल	27051	UNIGLOBE MA VI	KAMALADI	10	0.4311511792914432
27084	सिद्धार्थ एकाडेमी मा.वि., वाफल	27107	GITAMATA SECONDARY SCHOOL	BAJESHWARI	127	2.192078074446234
27095	एडमार्क एकाडेमी मा.वि., कलंकी	27058	EVEREST MA VI	SOLTEEMOD	100	1.1895439538191652
27095	एडमार्क एकाडेमी मा.वि., कलंकी	27113	KATHMANDU BERNHEART SECONDARY SCHOOL	BALKHU	100	0.8230712330226839
27095	एडमार्क एकाडेमी मा.वि., कलंकी	27362	KULESHWAR AWSIYA SECONDARY SCHOOL	KULESHWAR	69	1.1201574629494113
27263	कलेज अफ नेशनल एकेडेमिक स्क्वायर, कोटेश्वर	27136	EVEREST CAMPUS	THAPATHALI	12	3.292918901631249
27263	कलेज अफ नेशनल एकेडेमिक स्क्वायर, कोटेश्वर	27050	XAVIER INTERNATIONAL SECONDARY SCHOOL	KALOPUL	10	4.211623209233262
27263	कलेज अफ नेशनल एकेडेमिक स्क्वायर, कोटेश्वर	27022	PASHUPATI MULTIPLE CAMPUS	SUKEDHARA	11	3.8489253047952947
27263	कलेज अफ नेशनल एकेडेमिक स्क्वायर, कोटेश्वर	27230	GANDHI ADARSHA SECONDARY SCHOOL	MANOHAR	9	2.953415129900316
